ID,Soru_Metni(OCR),Alt_Konu,Zorluk,Görsel_Tipi,Kaynak_Tipi
P2-S1,18 sayısını bölen pozitif tam sayıların toplamı kaçtır?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P2-S2,Aşağıdakilerden hangisi 96 sayısının çarpanlarından biri değildir?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P2-S3,Aşağıdakilerden hangisi bu dikdörtgensel bölgenin kenar uzunluklarından biri olamaz?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P2-S4,Bu dikdörtgenlerden çevresi en küçük olanın çevresi kaç cm dir?,Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P2-S5,Misafirlerin sayısı 6'dan fazla olduğuna göre içilen çay sayısı aşağıdakilerden hangisi olamaz?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P2-S6,İki basamaklı en büyük asal sayı ile iki basamaklı en küçük asal sayı arasındaki fark kaçtır?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P2-S7,Aşağıdaki sayılardan hangisinin asal çarpan sayısı diğerlerinden fazladır?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P2-S8,Aşağıdakilerden hangisi yanlıştır?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S9,216 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S10,360 sayısının asal çarpanlarının çarpımı şeklinde yazılışı aşağıdakilerden hangisidir?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S11,42 sayısının asal çarpanlarının toplamı kaçtır?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S12,120 sayısının farklı asal çarpanlarının toplamı kaçtır?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S13,Aşağıdakilerden hangisi 90 sayısının asal çarpanlarından biri değildir?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S14,Aşağıdakilerden hangisi 910 sayısının çarpanlarından biri değildir?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P3-S15,"Aşağıdaki sayılardan hangisinin asal çarpanları 2,3 ve 5'tir?",Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P3-S16,1500 = 2^a . 3^b . 5^c olduğuna göre a + b + c kaçtır?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P4-S17,Buna göre A + D kaçtır?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P4-S18,x-y-z ifadesinin değeri kaç olur?,Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P4-S19,"180 sayısının a,b,c cinsinden ifadesi aşağıdakilerden hangisidir?",Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P4-S20,Buna göre Altuğ'un aklından tuttuğu sayı aşağıdakilerden hangisi olabilir?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P4-S21,Buna göre aşağıdakilerden hangisi doğrudur?,Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P4-S22,Yukarıdaki eşitliklerden hangisi ya da hangileri yanlıştır?,Bir Doğal Sayının Çarpanları,1,Görsel Yok,Başlangıç Sorusu
P4-S23,olduğuna göre A+B kaçtır?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P4-S24,"Asal çarpanları 3,5,11 olan dört basamaklı en küçük doğal sayı kaçtır?",Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P5-S25,K'nin alabileceği en küçük değer aşağıdakilerden hangisidir?,Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P5-S26,A = x^3 . y^1 . z^2 şeklinde yazılabilen en küçük A doğal sayısı kaçtır?,Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P5-S27,Buna göre A sayısı aşağıdakilerden hangisi olamaz?,Bir Doğal Sayının Çarpanları,2,Görsel Yok,Başlangıç Sorusu
P5-S28,Buna göre işleminin sonucu kaçtır?,Bir Doğal Sayının Çarpanları,3,Görsel Yok,Başlangıç Sorusu
P5-S29,"Buna göre, bu halkalar verilen kurala göre çubuklara takıldığında aşağıdaki halkalardan hangisi dışta kalır?",Bir Doğal Sayının Çarpanları,3,Resimli,Başlangıç Sorusu
P5-S30,"Buna göre, bu kutudaki toplam şeker sayısı kaçtır?",Bir Doğal Sayının Çarpanları,3,Resimli,Başlangıç Sorusu
P6-S31,B bölgesinin alanının santimetrekare cinsinden değeri aşağıdakilerden hangisi olamaz?,Bir Doğal Sayının Çarpanları,4,Geometrik Şekil,LGS Örnek Sorusu
P6-S32,Verilenlere göre bu dikdörtgenlerden birinin çevresinin uzunluğu kaç santimetredir?,Bir Doğal Sayının Çarpanları,4,Geometrik Şekil,LGS Örnek Sorusu
P7-S33,"Buna göre Ahmet'in 14 sayısını söylediği oyunda, Deniz aşağıdaki sayılardan hangisini söylerse oyunu kazanır?",Bir Doğal Sayının Çarpanları,3,Resimli,LGS Örnek Sorusu
P7-S34,Buna göre bu kartonun çevresinin uzunluğu en fazla kaç santimetredir?,Bir Doğal Sayının Çarpanları,4,Geometrik Şekil,LGS Örnek Sorusu
P8-S35,"Bu kartona yerleştirilen beyaz kart sayısı 3 olduğuna göre, en fazla kaç adet asal çarpan kartı yerleştirilmiştir?",Bir Doğal Sayının Çarpanları,5,Resimli,LGS Örnek Sorusu
P8-S36,"1'den 7'ye kadar olan sayıların yerleştirildiği çarpım tablosu bulmacasında, eksik olan a ve b değerlerinin toplamının bulunması istenmektedir.",Bir Doğal Sayının Çarpanları,3,Şematik,LGS Örnek Sorusu
P9-S37,"Üzerinde sayılar yazan kartların, asal çarpan sayılarına (1, 2 veya 3 tane) göre kutulara eşit sayıda dağıtılması kuralına dayanarak, ters çevrilmiş karttaki sayının bulunması istenmektedir.",Bir Doğal Sayının Çarpanları,3,Şematik,LGS Örnek Sorusu
P9-S38,"Asansörlerin kendi numaralarının katı olan katlarda durmadığı bir iş yerinde, duran asansör sayısı karşılaştırmasına göre Onur'un kat numarasının bulunması.",Bir Doğal Sayının Çarpanları,4,Şematik,LGS Örnek Sorusu
P10-S39,"Eylül ayı takviminde, günün tarihinin asal çarpan sayısı kadar ders yapan bir öğretmenin ay boyunca yaptığı toplam ders sayısı sorulmaktadır.",Bir Doğal Sayının Çarpanları,3,Şematik,LGS Örnek Soru
P10-S40,"Ürün kodları çarpılarak etiket numarası, birim fiyatları toplanarak satış fiyatı bulunan paketlerde; etiket numarası 270 ve 300 olan iki paketin toplam fiyatı sorulmaktadır.",Bir Doğal Sayının Çarpanları,4,Resimli,LGS Örnek Soru
P11-S41,48 ve 72 sayılarının en büyük ortak böleninin (EBOB) hesaplanması istenmektedir.,EBOB ve EKOK,1,Yok,Başlangıç Sorusu
P11-S42,"Bir üçgen şemasında a, b ve c harflerinin, bağlı oldukları sayı çiftlerinin EBOB'una eşit olduğu kurala göre a+b+c toplamı sorulmaktadır.",EBOB ve EKOK,2,Şematik,Başlangıç Sorusu
P11-S43,"EBOB(24, A) = 12 eşitliğini sağlayan en küçük üç basamaklı A sayısının bulunması istenmektedir.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P11-S44,54 kg şeker ve 96 kg nohutun birbirine karıştırılmadan ve hiç artmayacak şekilde eşit torbalara paylaştırılması için gereken en az torba sayısı sorulmaktadır.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P11-S45,"Kenarları 192 m ve 248 m olan dikdörtgen tarlanın etrafına, köşelere de gelmek şartıyla eşit aralıklarla dikilecek en az fidan sayısı sorulmaktadır.",EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P11-S46,216 cm ve 315 cm boyutlarındaki banyo zeminini kaplayacak eş kare fayansların bir kenar uzunluğunun en fazla kaç cm olabileceği sorulmaktadır.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P12-S47,"120 ve 165 cm'lik iki tahta parçasının eş uzunlukta parçalara ayrılması işleminde, her kesim 15 saniye sürdüğüne göre işin toplam süresi sorulmaktadır.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P12-S48,540 cm ve 780 cm kenar uzunluğuna sahip dikdörtgen salonun zeminine hiç boşluk kalmayacak şekilde döşenecek en az eş kare mermer sayısı sorulmaktadır.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P12-S49,45 cm ve 72 cm kenar uzunluklarına sahip dikdörtgen yapbozu oluşturan eş kare parçaların sayısının en az kaç olduğu sorulmaktadır.,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P12-S50,"İki yüzünün alanı 12 cm² ve 18 cm² olan dikdörtgenler prizmasının, tam sayı olan ayrıtlarına göre üretilebilecek en fazla farklı hacim sayısı sorulmaktadır.",EBOB ve EKOK,3,Yok,Başlangıç Sorusu
P12-S51,"Bir pisti 4 ve 6 dakikada turlayan iki aracın, aynı anda başladıktan kaç dakika sonra tekrar başlangıç çizgisinde yan yana gelecekleri sorulmaktadır.",EBOB ve EKOK,1,Yok,Başlangıç Sorusu
