Soru_MetniOCR,Alt_Konu,Zorluk,Gorsel_Tipi,Kaynak_Tipi,egitim_agirligi,is_LGS,ocr_kelime_sayisi,ocr_karakter_sayisi,ocr_rakam_sayisi,ocr_cok_adimli
18 sayısını bölen pozitif tam sayıların toplamı kaçtır?,carpanlar,1,yok,baslangic,0.3,0,8,55,2,0
Aşağıdakilerden hangisi 96 sayısının çarpanlarından biri değildir?,carpanlar,1,yok,baslangic,0.3,0,7,66,2,0
Aşağıdakilerden hangisi bu dikdörtgensel bölgenin kenar uzunluklarından biri olamaz?,carpanlar,2,yok,baslangic,0.3,0,9,84,0,0
Bu dikdörtgenlerden çevresi en küçük olanın çevresi kaç cm dir?,carpanlar,3,yok,baslangic,0.3,0,10,63,0,0
Misafirlerin sayısı 6'dan fazla olduğuna göre içilen çay sayısı aşağıdakilerden hangisi olamaz?,carpanlar,2,yok,baslangic,0.3,0,12,95,1,0
İki basamaklı en büyük asal sayı ile iki basamaklı en küçük asal sayı arasındaki fark kaçtır?,carpanlar,2,yok,baslangic,0.3,0,16,93,0,0
Aşağıdaki sayılardan hangisinin asal çarpan sayısı diğerlerinden fazladır?,carpanlar,2,yok,baslangic,0.3,0,8,74,0,1
Aşağıdakilerden hangisi yanlıştır?,carpanlar,1,yok,baslangic,0.3,0,3,34,0,0
216 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir?,carpanlar,1,yok,baslangic,0.3,0,8,75,3,0
360 sayısının asal çarpanlarının çarpımı şeklinde yazılışı aşağıdakilerden hangisidir?,carpanlar,1,yok,baslangic,0.3,0,9,86,3,0
42 sayısının asal çarpanlarının toplamı kaçtır?,carpanlar,1,yok,baslangic,0.3,0,6,47,2,0
120 sayısının farklı asal çarpanlarının toplamı kaçtır?,carpanlar,1,yok,baslangic,0.3,0,7,55,3,0
Aşağıdakilerden hangisi 90 sayısının asal çarpanlarından biri değildir?,carpanlar,1,yok,baslangic,0.3,0,8,71,2,0
Aşağıdakilerden hangisi 910 sayısının çarpanlarından biri değildir?,carpanlar,2,yok,baslangic,0.3,0,7,67,3,0
"Aşağıdaki sayılardan hangisinin asal çarpanları 2,3 ve 5'tir?",carpanlar,1,yok,baslangic,0.3,0,8,61,3,0
1500 = 2^a . 3^b . 5^c olduğuna göre a + b + c kaçtır?,carpanlar,2,yok,baslangic,0.3,0,15,54,7,0
Buna göre A + D kaçtır?,carpanlar,2,yok,baslangic,0.3,0,6,23,0,0
x-y-z ifadesinin değeri kaç olur?,carpanlar,3,yok,baslangic,0.3,0,5,33,0,0
"180 sayısının a,b,c cinsinden ifadesi aşağıdakilerden hangisidir?",carpanlar,2,yok,baslangic,0.3,0,7,65,3,0
Buna göre Altuğ'un aklından tuttuğu sayı aşağıdakilerden hangisi olabilir?,carpanlar,2,yok,baslangic,0.3,0,9,74,0,0
Buna göre aşağıdakilerden hangisi doğrudur?,carpanlar,3,yok,baslangic,0.3,0,5,43,0,0
Yukarıdaki eşitliklerden hangisi ya da hangileri yanlıştır?,carpanlar,1,yok,baslangic,0.3,0,7,59,0,0
olduğuna göre A+B kaçtır?,carpanlar,2,yok,baslangic,0.3,0,4,25,0,0
"Asal çarpanları 3,5,11 olan dört basamaklı en küçük doğal sayı kaçtır?",carpanlar,3,yok,baslangic,0.3,0,11,70,4,0
K'nin alabileceği en küçük değer aşağıdakilerden hangisidir?,carpanlar,3,yok,baslangic,0.3,0,7,60,0,0
